template,review_text,headline,pull_quote,handle,skin_type,age,before_image,after_image,output_name
customer_review,"朝の肌が、ほんとに変わった。\n塗って寝るだけなのに、\n朝起きたら毛穴がふっくら。\nザラつきも気にならなくて、\n化粧ノリまで良くなりました。\nベタつかないのも高ポイント。\nこれはもう手放せません♡",,,@nana_cosme,混合肌,20代,,,customer_review.png
customer_voice,"半信半疑で使い始めたけど、\nたった3日でもちもち肌に。\n乾燥でこわばってた頬が、\nふっくらやわらかくなって、\n夕方まで乾かないんです。\nメイク崩れも減った気がする。\n本気でリピ確定です♡",,,@yuuka.skin,乾燥肌,30代,,,customer_voice.png
headline,"塗って寝るだけの簡単ケア。\n朝には肌がつるんと整って、\n化粧のりが段違いでした。",毛穴、消えた？,,@mii_2525,脂性肌,20代,,,headline.png
customer_review_ba,"ビフォーアフターが歴然。\nずっと悩んでた頬の毛穴が、\n2週間でここまで目立たなく。\n肌全体がなめらかになって、\nファンデも薄づきでOKに。\nもっと早く出会いたかった。\n正直、感動しています♡",,,@kana___77,混合肌,30代,sample_photos/before.png,sample_photos/after.png,customer_review_ba.png
best_review_ba,"写真は加工なしです。\n毛穴のボツボツが気にならなく、\nキメまで整ってきました。\nベタつかずにしっかり保湿。\n一生使い続けたいです♡",,,@rina.beauty,乾燥肌,20代,sample_photos/before.png,sample_photos/after.png,best_review_ba.png
user_voice,"正直ここまでとは思わなかった。\n使い始めて1週間くらいで、\n小鼻のザラつきがつるん。\n化粧水の入りも良くなって、\n肌が内側からうるおう感じ。\n40代の肌にも自信が持てます。\n出会えてよかった一本♡",,,ともこ,乾燥肌,40代,,,user_voice.png
customer_review_left,"夜のスキンケアが楽しみに。\nこっくりなのに重くなくて、\n朝はもっちりやわ肌。\n毛穴の開きも引き締まって、\nすっぴんに自信が出ました。\n香りも優しくて癒される。\nリピ決定の神クリーム♡",,,@hina_glow,敏感肌,20代,,,customer_review_left.png
best_review_quote,"半信半疑だったんですが、\n使うほどに肌が整って、\n毛穴もキメも気にならない。\nベタつかず朝までしっとり。\nメイクのりも見違えるほど。\nもう手放せないです♡",,"毛穴の悩みが、\nすっと消えました。",@saaya.cos,混合肌,30代,,,best_review_quote.png
real_voice,"リアルに肌が変わりました。\nザラついてた頬がなめらかで、\n触りたくなるもちもち感。\n乾燥小じわも目立たなくなり、\nくすみまで抜けた印象です。\nコスパも良くて続けやすい。\n心からおすすめできます♡",,,@emi____30,乾燥肌,30代,,,real_voice.png
user_review,"塗って寝るだけのナイトケア。\n朝の肌がつるんと整って、\nファンデのりが段違いに。\nもう元には戻れません。",毛穴レスって\nこういうことか。,,@yui.skincare,脂性肌,20代,,,user_review.png
